vrg_id;megnevezes;marka_gyarto;gyartoi_cikkszam;gtin;kategoria_fo;kategoria_al;kategoria_ut;kategoria_forras;kategoria_javaslat_fo;kategoria_javaslat_al;tomeg_kg;egyseg;becsult_netto_ar_huf;becsult_brutto_ar_huf;ar_megfigyeles_datum;gyartoi_termek_link;megjegyzes;kedvenc;daniella_cikkszam;daniella_netto_egysegar_huf;daniella_brutto_egysegar_huf;daniella_listaar_netto_huf;daniella_engedmeny_szazalek;daniella_kiszereles;daniella_kiszereles_mennyiseg;daniella_aktualis_brutto_ar_huf;daniella_keszlet_db;daniella_termek_link;daniella_ar_ellenorizve;rendelesek_szama;osszes_rendelt_mennyiseg;elso_rendeles;utolso_rendeles;legacy_id;forras
VRG-0074;Legrand 601983 Plexo3 falon kívüli kiselosztó 3sor 36modul IP65;Legrand;601983;3245066019833;Kapcsolóberendezések és szekrények;Lakáselosztók;/Kapcsolóberendezések és szekrények/;daniella-webshop;Elosztók és szekrények;Kiselosztók;4,9;db;34721,7;44097;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG601983_tanusitvany.pdf;;;LEG601983;34721,7;44097;;;1 db;1;56534;51;https://daniella.hu/legrand-601983-plexo3-falon-kivuli-kiseloszto-3sor-36modul-ip65-id-leg601983;2026-09-20T08:04:34.449Z;1;1;2026.06.12;2026.06.12;LEG601983;email:visszaigazolas + pdf:Ajánlat
VRG-0075;Legrand 665001 Niloé 1-es keret, fehér;Legrand;665001;3245066650012;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,0145;db;223,86;284;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG665001_tanusitvany.pdf;;;LEG665001;223,86;284;;;20 db;20;363,99;16181;https://daniella.hu/legrand-665001-niloe-1-es-keret-feher-id-leg665001;2026-09-20T08:04:35.402Z;1;2;2026.06.12;2026.06.12;LEG665001;email:visszaigazolas + pdf:Ajánlat
VRG-0076;Niloé fehér keret 3-as 665003 Legrand;Legrand;665003;3245066650036;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,0366;db;748,02;950;2026.06.12;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG665003_tanusitvany.pdf;;;LEG665003;748,02;950;;;5 db;5;1218,01;2164;https://daniella.hu/legrand-665003-niloe-3-as-keret-feher-id-leg665003;2026-09-20T08:04:36.395Z;1;1;2026.06.12;2026.06.12;LEG665003;email:visszaigazolas
VRG-0077;Legrand 752101 Valena Life egypólusú kapcsoló 10 AX, fehér;Legrand;752101;3414970462640;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,0712;db;1790,1;2273;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG752101_tanusitvany.pdf;;;LEG752101;1790,1;2273;2295;22;15 db;15;2915,01;2447;https://daniella.hu/legrand-752101-valena-life-egypolusu-kapcsolo-10-ax-feher-id-leg752101;2026-09-20T08:04:37.885Z;1;3;2026.09.08;2026.09.08;LEG752101;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0078;Legrand 752106 Valena Life váltókapcsoló 10 AX, fehér;Legrand;752106;3414970465351;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,0711;db;2329,08;2958;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG752106_tanusitvany.pdf;;;LEG752106;2329,08;2958;2986;22;15 db;15;3792;1473;https://daniella.hu/legrand-752106-valena-life-valtokapcsolo-10-ax-feher-id-leg752106;2026-09-20T08:04:38.827Z;1;4;2026.09.08;2026.09.08;LEG752106;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0079;Legrand 752107 Valena Life keresztkapcsoló 10 AX, fehér;Legrand;752107;3414970463852;Szerelvények;Kapcsolók;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett kapcsolók;0,0813;db;3582,54;4550;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG752107_tanusitvany.pdf;;;LEG752107;3582,54;4550;4593;22;5 db;5;5833;368;https://daniella.hu/legrand-752107-valena-life-keresztkapcsolo-10-ax-feher-id-leg752107;2026-09-20T08:04:39.734Z;1;1;2026.09.08;2026.09.08;LEG752107;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0080;Legrand 753121 Valena Life 2P+F csatlakozóaljzat gyermekvédelem nélkül, rugós, fehér;Legrand;753121;3414970509680;Szerelvények;Csatlakozóaljzatok;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;0,0768;db;1790,1;2273;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG753121_tanusitvany.pdf;;;LEG753121;1790,1;2273;2295;22;15 db;15;2915,01;3956;https://daniella.hu/legrand-753121-valena-life-2p-f-csatlakozoaljzat-gyermekvedelem-nelkul-rugos-feher-id-leg753121;2026-09-20T08:04:40.622Z;1;25;2026.09.08;2026.09.08;LEG753121;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0081;Legrand 753142 Valena Life 1xRJ45 UTP Cat6 aljzat, fehér;Legrand;753142;3414970475220;Automatizálás;Adat- és telekommunikáció;/Automatizálás/;daniella-webshop;Gyengeáram és adathálózat;Csatlakozók és aljzatok;0,0664;db;4891,38;6212;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG753142_tanusitvany.pdf;;;LEG753142;4891,38;6212;6271;22;5 db;5;7964;184;https://daniella.hu/legrand-753142-valena-life-1xrj45-utp-cat6-aljzat-feher-id-leg753142;2026-09-20T08:04:41.708Z;1;1;2026.09.08;2026.09.08;LEG753142;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0082;Legrand 754001 Valena Life 1-es keret, fehér;Legrand;754001;3414970454201;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,0168;db;484,38;615;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG754001_tanusitvany.pdf;;;LEG754001;484,38;615;621;22;20 db;20;789;12882;https://daniella.hu/legrand-754001-valena-life-1-es-keret-feher-id-leg754001;2026-09-20T08:04:42.620Z;1;20;2026.09.08;2026.09.08;LEG754001;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0083;Legrand 754002 Valena Life 2-es keret, tetszőleges, fehér;Legrand;754002;3414970454232;Szerelvények;Keretek;/Szerelvények/;daniella-webshop;Kapcsolók és csatlakozók;Keretek;0,0288;db;872,82;1108;2026.09.08;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/LEG754002_tanusitvany.pdf;;;LEG754002;872,82;1108;1119;22;10 db;10;1421;1100;https://daniella.hu/legrand-754002-valena-life-2-es-keret-tetszoleges-feher-id-leg754002;2026-09-20T08:04:43.529Z;1;6;2026.09.08;2026.09.08;LEG754002;email:modositas + pdf:Megrendelés visszaigazolás
