bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
14408/26VRD1;2026.09.08;modositas;VRG-0002;BEG92565;Jelenlét érzékelő süllyeszthető 360 PD2-M-1C-DE IP20 92565 B.E.G;1,00 db;1 db;25399,66;32258;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0158;SEZ1001081400;Pawbol kötődoboz 190x140x70 S S-BOX 416 (400363) SEZ;4,00 db;20 db;1975,63;10036;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0206;VEZ2100002;NYM-J 3x 1,5 (100);100,00 fm;100 fm;260,26;33053;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0205;VEZ2100001;NYM-J 3x 1,5 ( 50) FEHÉR v. SZÜRKE;50,00 fm;50 fm;260,26;16527;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;100,00 db;100 db;31,6;4013;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0116;PORA374K8RXL;Védőkesztyű, precíziós nitril, fekete, XL-es GP Grip 18 A374K8RXL Portwest;2,00 pár;1 pár;1127,7;2864;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0173;STI746;Érv.h. szig. 10/12 elefántcsont E10-12 STI746 Stilo;100,00 db;100 db;13,76;1748;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0161;SOMTS52WH;Telefon Moduláris dugóhoz törésgátló fehér TS 52/WH;5,00 db;1 db;48,14;306;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0159;SOM0889;Telefon Moduláris dugó 8P8C árnyékolt Cat 5-hoz (FTP);5,00 db;1 db;102,92;654;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0094;NVT10009;Sittes zsák vastag 90x55cm;5,00 db;25 db;131,14;833;;FIGYELEM! A rendelés módosult! (10).eml
08564/26VRB;2026.09.04;modositas;VRG-0101;OBO2005312;OBO X16 H25 GNP5 LGR Leágazódoboz f vezetéki sorkapoccsal 240x191x125 világosszürke 2005312;2,00 db;1 db;20778,58;52778;;FIGYELEM! A rendelés módosult! (11).eml
15044/26VRD1;2026.09.15;modositas;VRG-0022;ELTM32TOLDO;Symalen toldó M32;1,00 db;15 db;127,68;162;;FIGYELEM! A rendelés módosult! (2).eml
15044/26VRD1;2026.09.15;modositas;VRG-0004;BELDE1583EVAGOS;(939023 ) Számítógép vezeték CAT5 E - UTP fali réz PVC (0) BELDEN 1583e;50,00 fm;1 fm;161,46;10253;;FIGYELEM! A rendelés módosult! (2).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,15;10052;;FIGYELEM! A rendelés módosult! (3).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (3).eml
09293/26VRB;2026.09.10;modositas;VRG-0034;GEWDX43220;Kötődobozhoz egyenes csatlakozó 20-as (csőadapter) IP67 szürke hal.mentes DX43220 Gewiss;9,00 db;1 db;478,06;5464;;FIGYELEM! A rendelés módosult! (3).eml
09293/26VRB;2026.09.10;modositas;VRG-0029;GEWDX40020;Karmantyú Mü.II. 20 IP40 szürke hal.mentes DX40020 Gewiss;10,00 db;1 db;90,2;1146;;FIGYELEM! A rendelés módosult! (3).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,15;10052;;FIGYELEM! A rendelés módosult! (4).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (4).eml
09293/26VRB;2026.09.10;modositas;VRG-0034;GEWDX43220;Kötődobozhoz egyenes csatlakozó 20-as (csőadapter) IP67 szürke hal.mentes DX43220 Gewiss;9,00 db;1 db;478,06;5464;;FIGYELEM! A rendelés módosult! (4).eml
09293/26VRB;2026.09.10;modositas;VRG-0029;GEWDX40020;Karmantyú Mü.II. 20 IP40 szürke hal.mentes DX40020 Gewiss;10,00 db;1 db;90,2;1146;;FIGYELEM! A rendelés módosult! (4).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,31;10072;;FIGYELEM! A rendelés módosult! (5).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (5).eml
09293/26VRB;2026.09.10;modositas;VRG-0034;GEWDX43220;Kötődobozhoz egyenes csatlakozó 20-as (csőadapter) IP67 szürke hal.mentes DX43220 Gewiss;9,00 db;1 db;478,06;5464;;FIGYELEM! A rendelés módosult! (5).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,31;10072;;FIGYELEM! A rendelés módosult! (6).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (6).eml
09293/26VRB;2026.09.10;modositas;VRG-0095;NYUGMFL20;Gégecső toldó 20 MFL20 Inset;10,00 db;50 db;85,12;1081;;FIGYELEM! A rendelés módosult! (6).eml
09293/26VRB;2026.09.10;modositas;VRG-0034;GEWDX43220;Kötődobozhoz egyenes csatlakozó 20-as (csőadapter) IP67 szürke hal.mentes DX43220 Gewiss;9,00 db;1 db;478,06;5464;;FIGYELEM! A rendelés módosult! (6).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,31;10072;;FIGYELEM! A rendelés módosult! (7).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (7).eml
09293/26VRB;2026.09.10;modositas;VRG-0095;NYUGMFL20;Gégecső toldó 20 MFL20 Inset;10,00 db;50 db;85,12;1081;;FIGYELEM! A rendelés módosult! (7).eml
09293/26VRB;2026.09.10;modositas;VRG-0034;GEWDX43220;Kötődobozhoz egyenes csatlakozó 20-as (csőadapter) IP67 szürke hal.mentes DX43220 Gewiss;9,00 db;1 db;478,06;5464;;FIGYELEM! A rendelés módosult! (7).eml
09293/26VRB;2026.09.10;modositas;VRG-0197;VEZ1600012;H07V-U 1x 1,5 fekete (100);100,00 fm;100 fm;79,67;10118;;FIGYELEM! A rendelés módosult! (8).eml
09293/26VRB;2026.09.10;modositas;VRG-0103;OBO2149010;Csőbilincs D-20 OBO M20 2955 /Mü.II/ Quick 2149010;20,00 db;100 db;31,6;803;;FIGYELEM! A rendelés módosult! (8).eml
09293/26VRB;2026.09.10;modositas;VRG-0095;NYUGMFL20;Gégecső toldó 20 MFL20 Inset;10,00 db;50 db;85,12;1081;;FIGYELEM! A rendelés módosult! (8).eml
14406/26VRD1;2026.09.08;modositas;VRG-0108;OBO5000750XXX1;OBO 219 20 ST FT rúdföldelő standard 1,5m 5000750 helyette ideiglenesen: OBO5000947;3,00 db;1 db;8080,91;30788;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0055;JPR2058;J.P.2058 ütőcsúcs 20;1,00 db;1 db;1047,14;1330;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0109;OBO5001641;OBO 2760 20 FT csatlakozóbilincs kör- és laposvezetőhöz 20mm 5001641;1,00 db;1 db;2813,19;3573;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0009;DEHN556125;DEHN KSB 50 L10M Korrózióvédő szalag szélesség 50 mm L 10m 556125;1,00 db;24 db;4731,72;6009;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0168;STI1784;Multikapocs, Vario összekötő horganyzott M10 Rd8-10 BLKLEUNIVZ2-10VK-40 STI1784;1,00 db;1 db;435,16;553;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0045;HAU290662;Ónozott saru (SZ 10-10) 290662 Haupa;5,00 db;100 db;85,6;544;;FIGYELEM! A rendelés módosult! (9).eml
14406/26VRD1;2026.09.08;modositas;VRG-0172;STI671;Szemes csősaru ST- 50-10 Stilo (STI671);1,00 db;50 db;481,6;612;;FIGYELEM! A rendelés módosult! (9).eml
